"Workbench","محطة العمل"
"Product Category","فئة المنتج"
"Shift","الوردية"
"Los Andalus Production Batch","دفعة إنتاج لوس أندلس"
"Los Andalus Production Material","مواد إنتاج لوس أندلس"
"Los Andalus Production Output","مخرجات إنتاج لوس أندلس"
"Los Andalus Production Loss","فاقد إنتاج لوس أندلس"
"Los Andalus Production Waste","هالك إنتاج لوس أندلس"
"Los Andalus Item Category","فئة صنف لوس أندلس"
"Los Andalus Manufacture Settings","إعدادات تصنيع لوس أندلس"
"Workbench Staff","موظفو محطة العمل"
"Workbench Worker","عمال محطة العمل"
"Workbench Name","اسم محطة العمل"
"Disabled","معطّل"
"Warehouses","المخازن"
"Raw Material Warehouse","مخزن المواد الخام"
"Manufacturing Warehouse","مخزن التصنيع"
"Finished Goods Warehouse","مخزن المنتجات النهائية"
"Staff & Shifts","الموظفون والورديات"
"System Users","مستخدمو النظام"
"Workers (non-system)","العمال (غير مستخدمي النظام)"
"The product family produced at this workbench (e.g. Chicken Burger).","عائلة المنتجات المُصنَّعة في محطة العمل هذه (مثل برجر الدجاج)."
"Category Name","اسم الفئة"
"Description","الوصف"
"Shift Name","اسم الوردية"
"Start Time","وقت البدء"
"End Time","وقت الانتهاء"
"System User","مستخدم النظام"
"Worker Name","اسم العامل"
"Production","الإنتاج"
"Batch Reference","مرجع الدفعة"
"Operator","المُشغِّل"
"Status","الحالة"
"Manufacturing (WIP) Warehouse","مخزن التصنيع (تحت التشغيل)"
"WIP = Work In Progress.","تحت التشغيل = العمل الجاري."
"Finished Goods (FG) Warehouse","مخزن المنتجات النهائية"
"FG = Finished Goods.","المنتجات النهائية."
"Finished Products","المنتجات النهائية"
"Outputs","المخرجات"
"Raw Materials Consumed","المواد الخام المستهلكة"
"Materials","المواد"
"Loss (الفاقد)","الفاقد"
"Loss","الفاقد"
"Raw material loss (الفاقد) — posted with consumed raw materials and absorbed in finished product cost.","فاقد المواد الخام — يُسجَّل مع المواد المستهلكة ويُحتسب ضمن تكلفة المنتج النهائي."
"ERPNext Stock Entries","قيود المخزون"
"Material Transfer (raw → WIP)","تحويل مواد (خام ← تحت التشغيل)"
"Moves raw materials from the raw warehouse into the manufacturing warehouse.","ينقل المواد الخام من مخزن الخام إلى مخزن التصنيع."
"Material Issue (consume)","صرف مواد (استهلاك)"
"Consumes the raw materials from the manufacturing warehouse (value = C, at valuation rate, FEFO batches).","يستهلك المواد الخام من مخزن التصنيع (القيمة = C، بسعر التقييم، دفعات FEFO)."
"Material Receipt (finished)","استلام مواد (منتج نهائي)"
"Receives finished goods into the FG warehouse at the weight-allocated cost.","يستلم المنتجات النهائية في مخزن المنتجات بالتكلفة الموزّعة حسب الوزن."
"Cost","التكلفة"
"Total Raw Cost (C)","إجمالي تكلفة المواد الخام (C)"
"Total value of raw materials consumed.","إجمالي قيمة المواد الخام المستهلكة."
"Total Output Weight (g)","إجمالي وزن المخرجات (جم)"
"Σ(qty × weight per unit). Used to allocate C by weight.","مجموع (الكمية × وزن الوحدة). يُستخدم لتوزيع C حسب الوزن."
"Total Produced (pieces)","إجمالي المُنتَج (قطع)"
"Σ of finished-product quantities.","مجموع كميات المنتجات النهائية."
"Notes","ملاحظات"
"Error Log","سجل الأخطاء"
"Raw Material","مادة خام"
"Name","الاسم"
"UOM","وحدة القياس"
"Consumed Qty","الكمية المستهلكة"
"Actual quantity consumed.","الكمية الفعلية المستهلكة."
"Valuation Rate","سعر التقييم"
"Amount","المبلغ"
"Final Product","المنتج النهائي"
"Qty (Nos)","الكمية (عدد)"
"Weight/Unit (g)","الوزن/الوحدة (جم)"
"Cost/Unit","التكلفة/الوحدة"
"Batch","الدفعة"
"Item Name","اسم الصنف"
"Loss Qty","كمية الفاقد"
"Rate / Unit","السعر / الوحدة"
"Reason / Notes","السبب / ملاحظات"
"Reason","السبب"
"Qty","الكمية"
"Company","الشركة"
"Factory Name (header)","اسم المصنع (الترويسة)"
"Raw Material Item Group","مجموعة أصناف المواد الخام"
"Production Clearing Account","حساب تسوية الإنتاج"
"Shared difference account for the Material Issue + finished-goods Receipt so the GL nets to zero.","حساب فروق مشترك لصرف المواد واستلام المنتجات النهائية بحيث يتصافى دفتر الأستاذ إلى صفر."
"Default Source Warehouse (fallback)","المخزن المصدر الافتراضي (احتياطي)"
"Default WIP Warehouse (fallback)","مخزن التشغيل الافتراضي (احتياطي)"
"Default FG Warehouse (fallback)","مخزن المنتجات النهائية الافتراضي (احتياطي)"
"Draft","مسودة"
"Transferred","محوّلة"
"Issued","مصروفة"
"Completed","مكتملة"
"Failed","فاشلة"
"Chicken Burger","برجر دجاج"
"Beef Burger","برجر لحم"
"Bread","خبز"
"Sauce","صوص"
"Chicken Workbench","محطة الدجاج"
"Beef Workbench","محطة اللحم"
"Bread Workbench","محطة الخبز"
"Sauce Workbench","محطة الصوص"
"Morning","صباحية"
"Evening","مسائية"
"Tomato","طماطم"
"Flour","دقيق"
"Bread Crumbs","فتات الخبز"
"Vegetable Oil","زيت نباتي"
"Spices","بهارات"
"Fresh Eggs","بيض طازج"
"Beef Mince","لحم بقري مفروم"
"Chicken Mince","دجاج مفروم"
